Plant Species,Gene ID,Developmental Stage,Stress Treatment,Soil Moisture (%),Temperature (°C),Promoter Methylation (%),Gene Body Methylation (%),TE Methylation (%),Global DNA Methylation (%),CG Methylation (%),CHG Methylation (%),CHH Methylation (%),Methylation Pattern Type,Histone Modification,siRNA Expression (FPKM),SNP Variants,Gene Expression (FPKM),Drought Resistance (1-10),Root Depth (cm),Leaf Area Index,Photosynthetic Rate (μmol CO₂/m²/s),Water Use Efficiency,Chlorophyll Content,Yield (g/plant)
Arabidopsis,AtMYB44,Mature,None,26.11296878,27.4798345,32.88016797,70.74216057,51.96216973,51.86149942,62.12075184,35.67956057,10.98551734,Dynamic,H3K9me2,15.63200245,31,70.72176824,4.115148203,82.59988109,1.992250914,32.11059867,2.152721278,49.60663167,56.55179164
Maize,ZmGLK1,Vegetative,Heat,43.9695912,24.31717168,49.73457334,73.76852563,91.85075757,71.78461885,59.44961312,41.89116963,26.4495745,High,H3K9me2,13.18224371,23,43.73693889,3.304276845,76.1026088,2.546485326,30.6851519,2.091382927,32.33718259,28.94712187
Rice,OsNAC10,Vegetative,Salt,45.10614063,34.95737947,62.49819654,68.07867509,85.81067012,72.12918058,83.38148688,45.81631577,18.0491143,High,H3K4me3,2.348735343,5,31.5866054,1.82687411,20.68908506,3.862392073,25.36462831,1.252604944,37.63499869,32.81502035
Maize,ZmDREB2,Seedling,Salt,18.89423589,28.0560815,68.49967765,,78.03007141,65.05419672,54.26424169,33.8719435,20.33215916,Dynamic,H3K27me3,41.88101597,8,42.22004279,5.207494853,70.45553878,3.083329005,22.04708546,,27.45631338,30.85925136
Arabidopsis,AtMYB44,Seedling,None,22.1306024,18.91092607,20.00971593,61.96906659,82.15681652,54.71186635,58.21774533,33.48221555,26.36817128,Dynamic,H3K4me3,6.245595705,4,80.92255565,4.555521732,58.2649305,2.258800187,19.90923958,1.471313938,45.15692221,47.17834667
Maize,ZmGLK1,Mature,Drought,69.88224088,32.59144648,53.70869145,43.91336643,72.12271438,56.58159075,55.98118699,32.21081031,15.47736566,Dynamic,None,3.993152996,1,54.45336507,2.971739923,43.2511431,4.503439663,24.10036027,3.047943,38.85648537,41.73842038
Rice,OsHKT1,Mature,Heat,50.28319245,24.70424816,62.16441092,58.33011562,74.55275552,65.01576069,76.49662883,42.54898302,31.49859034,Dynamic,H3K27me3,34.98848969,44,38.48929196,1.863904351,40.46438977,5.379501244,8.744701944,2.91557572,32.07338595,43.76161355
Maize,ZmGLK1,Seedling,Heat,61.45497307,35.08702326,44.10172863,47.09758175,83.77766382,58.32565807,65.4841933,52.27157472,15.45904482,Dynamic,H3K4me3,25.50999244,47,62.28659585,2.860009281,77.22888335,3.71597611,32.02787417,2.726810053,28.85622964,40.84665499
Rice,OsNAC10,Flowering,None,72.68662599,24.73004197,10.43350606,76.21527906,54.10790046,46.91889519,43.52785339,41.28979074,22.53246436,Dynamic,None,39.58609807,44,88.55553068,7.559532301,43.83165424,3.172843087,23.14658181,3.526333052,45.04749059,58.27218519
Rice,,Flowering,Drought,14.0291132,28.73822206,52.07652507,75.50816731,65.79117556,64.45862265,54.58528957,35.91613007,26.08023285,Dynamic,None,19.02640439,0,43.81237295,4.785158254,20.30825219,5.287440237,30.59975127,0.606248659,28.52707885,48.32924507
Wheat,TaNAC69,Flowering,Salt,73.53855944,29.79721847,47.51091234,68.32724782,71.67501446,62.50439154,59.45386696,48.88054344,12.46897993,Dynamic,H3K4me3,37.33847702,2,49.95437179,3.330279508,34.42747266,2.21560626,26.28713681,2.684067662,40.80950736,34.78359958
Rice,OsNAC10,Vegetative,None,36.24094057,22.14280216,44.74396513,48.94383354,93.34501427,62.34427098,50.17852153,55.35869085,7.310736397,Dynamic,H3K9me2,45.10732152,10,55.6042982,5.965652153,50.65119694,4.517594553,37.82994756,1.781804354,42.5511616,35.6956298
Arabidopsis,AtWRKY53,Seedling,Heat,14.05047284,24.86304497,35.3378033,53.42640259,57.63559568,48.79993385,51.66640999,31.97895551,9.357772752,Dynamic,None,13.9124033,12,64.93394959,4.035123783,34.16136662,2.35972254,9.034110436,1.231255048,34.40172098,44.49297804
Wheat,TaDREB3,Seedling,None,75.8372279,25.41597644,33.24650485,76.76706207,53.7236789,54.57908194,62.80221718,39.33160485,9.056509252,Dynamic,H3K27me3,2.322682448,0,73.75147839,3.272350257,43.09937764,3.2487349,25.71957796,2.961867295,41.38162938,54.84123681
Rice,OsHKT1,Vegetative,Drought,58.4200078,28.35865688,67.49553747,76.52663009,76.33172895,73.45129884,80.09484672,58.96908847,18.44657533,High,None,13.79928786,38,32.43557275,1.250896559,36.35007421,3.098927188,14.63128477,3.116395103,40.62598438,38.58789913
Wheat,TaWRKY19,Vegetative,Drought,43.33474878,35.78428725,45.38886199,72.65542941,93.55881944,70.53437028,58.92182357,57.60733421,23.69830411,High,H3K27me3,27.96337262,33,41.56719796,3.452732359,72.90039437,3.709453176,27.75243879,3.438457584,37.94558129,36.18930116
Arabidopsis,AtMYB44,Flowering,Drought,41.56373132,37.76178196,44.89797258,60.94409104,81.39388422,62.41198261,69.81333913,42.6734893,27.26383616,Dynamic,H3K9me2,29.44592224,10,61.16610279,3.146707155,41.17223142,1.627392373,26.5487979,1.425924113,36.6707415,36.89636614
Wheat,TaNAC69,Flowering,Salt,71.20223234,27.88090137,78.65551746,64.07741582,60.07320797,67.60204708,76.3035294,43.13234036,16.16011291,Dynamic,H3K4me3,34.5453435,29,21.59869538,1.881006975,80.71420143,1.386245195,,1.362985709,28.66123055,39.23411222
Maize,ZmNAC111,Flowering,Heat,14.27545719,21.9219412,70.31006399,69.93038762,58.30344587,66.18129916,58.48704341,42.89797961,19.44467417,Dynamic,H3K9me2,25.82803338,46,32.25464226,2.636104597,49.74132553,4.989883753,9.173862492,1.145176375,39.84029255,57.6826484
Arabidopsis,AtMYB44,Vegetative,Drought,41.31886568,28.31543166,42.12352518,50.76972924,,53.29034725,43.06011824,33.51065786,9.836289813,Dynamic,H3K9me2,37.39925397,48,54.01034997,5.343198931,62.19396341,3.367513716,23.95015037,0.623798907,36.66791775,47.60221999
Arabidopsis,AtNAC2,Flowering,Drought,29.86431341,24.07705741,62.29586207,62.83113219,66.02435267,63.71711564,76.11685499,47.29784751,12.41787433,Dynamic,H3K9me2,20.81464294,35,42.25695855,1.737671932,31.32201975,1.855285506,13.54795505,3.174811088,28.44420742,44.55219675
Arabidopsis,AtNAC2,Flowering,Drought,37.84989193,39.23676083,73.27535629,72.68288284,61.60562722,69.18795545,60.07970947,53.09880065,32.63944536,Dynamic,H3K4me3,30.7256921,37,36.94124615,5.611641208,27.48142119,1.971037709,21.61396604,1.948972693,31.36337518,53.86224709
Rice,OsNAC10,Flowering,Salt,75.24100396,23.0160548,59.69415488,54.76921926,70.44205875,61.6351443,62.83340837,44.35072632,11.13698889,Dynamic,H3K27me3,5.781612881,4,36.49717054,3.134078247,26.58365589,2.010843598,11.73427405,1.840473533,37.90983386,46.08350279
Wheat,TaWRKY19,Vegetative,Drought,75.3056647,39.77323691,40.2500905,55.1691434,91.69022406,62.36981932,67.89819405,32.38477136,25.73414874,Dynamic,H3K4me3,34.30761214,7,62.40949396,3.906531721,29.14181735,1.707075238,28.28027404,3.209778311,32.69153848,36.73551161
Maize,ZmDREB2,Flowering,Heat,42.387585,22.53444685,67.38046901,60.1088156,60.44957128,62.6462853,72.65903038,40.94288624,19.88525557,Dynamic,H3K9me2,31.19360142,29,34.9969992,2.96971152,25.21315133,5.759328494,28.0866577,1.404952686,29.50689731,53.62954033
Maize,ZmNAC111,Mature,Heat,79.83848311,33.810078,65.34902306,71.14287756,56.44075935,64.31088666,56.71048699,50.52428103,19.13844364,Dynamic,None,38.70815804,26,32.61960329,4.589480289,47.40053506,4.415831488,24.07322712,2.050561007,35.75443468,40.55560579
Maize,ZmNAC111,Flowering,Salt,49.58558431,32.90447687,59.95146824,73.07195311,93.15836576,75.39392904,70.64484304,44.55331807,20.31404562,High,None,5.559526879,47,43.42757541,3.749204272,80.08046435,2.556464777,11.2254273,1.156448925,40.06972055,25.91499488
Arabidopsis,AtMYB44,Seedling,Heat,11.61158234,31.28418027,68.56233343,54.97741479,53.10146927,58.88040583,48.92540295,31.89544438,25.68221123,Dynamic,H3K4me3,10.67620051,25,28.30057215,4.612070462,38.63817842,1.934332792,15.27665987,2.26486734,33.82750257,55.54346243
Rice,OsHKT1,Flowering,Salt,39.01532089,36.58795352,76.14801159,58.62800489,71.63766401,68.80456017,80.32119749,50.55946846,7.784456296,Dynamic,H3K27me3,11.3948121,49,21.90554745,1.77696876,58.65726803,2.66205327,9.084133128,1.331140489,41.04892274,45.74603875
Rice,OsDREB2A,Seedling,Salt,78.2878921,26.4747247,57.86526844,74.42528072,74.07813735,68.78956217,60.1072978,42.63840972,15.4071264,Dynamic,H3K27me3,35.84593039,49,35.32121354,2.07801654,50.69821145,4.499903948,20.08723032,2.985179162,37.57416488,40.12511548
Wheat,TaWRKY19,Seedling,Heat,43.67615639,27.42529872,68.26781405,44.11925917,65.04632651,59.14446658,49.10181573,47.39237166,12.35650584,Dynamic,H3K9me2,13.06748392,22,37.37662966,5.153451667,70.89903234,3.936794307,34.8732435,3.081030344,34.34372092,52.23440706
Maize,ZmNAC111,Mature,None,51.65342858,23.48178115,32.77774071,75.4984193,75.05247132,61.10954378,66.50705881,50.23974399,30.27926029,Dynamic,H3K4me3,43.88398176,28,73.47128589,3.769618707,38.90968557,2.34770006,35.329631,2.668099532,46.96256191,41.09471651
Arabidopsis,AtWRKY53,Vegetative,Drought,73.74368025,30.61903178,46.79329286,73.00429326,66.33766455,62.04508355,50.48554124,51.63775308,14.77149854,Dynamic,None,49.27568196,22,47.91905089,4.324135334,75.95062606,1.658531575,39.18551249,2.806240141,29.05628267,53.08942508
Arabidopsis,AtMYB44,Seedling,Drought,11.57285158,21.71693398,57.08171073,65.33912879,61.60494584,61.34192846,52.4928909,51.15745657,30.2882441,Dynamic,H3K9me2,45.05092277,5,36.47605237,4.851528333,53.94093184,2.954261165,34.55173772,1.000227006,27.19792492,41.04956215
Maize,ZmDREB2,Mature,Heat,54.31686444,27.35684625,58.66471891,73.52427853,68.19716757,66.79538834,74.03364059,44.67371916,16.13432924,Dynamic,H3K9me2,47.49068645,46,44.09459937,2.74384377,22.0336356,5.348315963,21.99018868,3.233868083,39.9875915,44.78870885
Arabidopsis,AtWRKY53,Mature,Drought,61.2800468,20.37350946,31.55915675,50.49056177,76.77850688,52.9427418,43.44324287,36.98296693,17.93367292,Dynamic,H3K9me2,13.97118429,33,74.18720988,4.952499288,63.23566846,2.304482016,15.88486506,2.930172301,41.38948582,41.43580411
Arabidopsis,AtNAC2,Flowering,None,16.41074513,37.93283939,15.47274524,78.00949415,,54.51749972,47.65119354,39.07598376,24.48807972,Dynamic,H3K9me2,49.3895664,44,93.38125794,6.051579164,60.06325651,3.076829694,43.96782606,1.136454228,39.78849927,48.05817991
Wheat,TaDREB3,Mature,Heat,59.39026208,38.13120794,39.02876726,62.71780922,91.19697339,64.31451662,52.32490098,50.09895726,14.08099473,Dynamic,H3K4me3,4.309183481,36,60.77345697,,36.88802253,3.486746422,9.184244311,2.228250117,31.14015907,34.54310518
Maize,ZmDREB2,Mature,Salt,38.31398148,29.31069399,70.19884897,61.53605962,79.77448288,70.50313049,77.21096096,49.92095729,19.0870885,High,H3K9me2,3.966470434,45,29.94993173,2.060800006,50.27519953,5.961365253,8.007600754,0.934239665,33.91135002,45.0920462
Arabidopsis,AtMYB44,Seedling,Drought,16.19803874,15.93991933,53.98906634,63.23028829,62.2259137,59.81508944,57.38150975,32.10154629,14.0295207,Dynamic,H3K27me3,2.732483522,14,54.6995808,4.430325184,36.35987617,3.558465465,30.89770609,2.205691884,31.99078162,48.84272304
Rice,OsDREB2A,Flowering,Heat,18.71062901,38.91039244,69.89946611,50.35930606,76.4849403,65.58123749,78.23397032,55.98536402,22.31856599,Dynamic,H3K27me3,19.51248527,40,29.42717012,2.079503401,46.03111315,5.351302941,15.37821427,2.966523931,29.16609772,42.02912428
Rice,OsNAC10,Mature,Salt,67.83439871,35.01924218,61.48889615,48.65296092,73.3217165,61.15452452,63.53402438,43.42048298,12.48123161,Dynamic,H3K9me2,14.01148906,28,29.35702698,6.813969234,65.53704305,2.139460641,36.63748612,3.059399472,35.23377776,54.51751518
Rice,OsHKT1,Vegetative,None,69.65354733,15.88555921,23.16205461,77.26357953,83.08456945,61.17006787,55.82113596,36.76685882,6.241356722,Dynamic,None,44.20386032,28,73.50825297,4.182429682,53.09974668,5.84848789,14.3787544,3.167611783,49.8295067,38.96835988
Maize,ZmDREB2,Vegetative,Salt,34.34664455,31.95040381,58.2865982,50.68113081,89.53834939,66.1686928,74.04080922,50.51190527,29.12962173,Dynamic,H3K4me3,1.94774051,22,43.74148977,3.310926092,64.29892793,4.474445513,32.08693247,0.849606082,42.85567367,37.74290847
Wheat,TaWRKY19,Vegetative,Heat,33.4583198,33.58770641,38.0379948,72.71868096,87.44603801,66.06757126,66.26492127,33.20254524,14.19232205,Dynamic,H3K9me2,38.17088117,9,66.24923486,3.564606941,60.66233995,1.779410743,28.2881825,2.050953946,41.03721711,36.50916374
Rice,OsNAC10,Flowering,Salt,37.4505848,19.48743309,67.6849417,71.55227927,57.81890639,65.68537579,72.80183735,57.732135,10.93996731,Dynamic,H3K9me2,29.92259503,11,36.07457139,3.696715343,21.5318939,5.409658637,39.68474793,2.47956461,35.02724953,47.61343866
Maize,ZmGLK1,Flowering,Salt,67.50590632,24.29583823,70.93928217,50.10034999,50.04632659,57.02865292,49.24853681,39.20239517,27.24381099,Dynamic,H3K4me3,48.18021435,27,28.85286734,6.373806053,34.51240412,5.359788659,32.73032896,1.074669102,29.36403228,55.51523605
Rice,OsDREB2A,Vegetative,Salt,39.38091218,30.96314869,49.8797199,50.96860809,94.27899416,65.04244072,62.68358571,55.78297814,12.4869676,Dynamic,H3K27me3,38.17068755,2,43.86258298,5.175406033,82.59813392,2.742102063,35.79594137,2.796280086,40.8765932,32.44974703
Rice,OsDREB2A,Seedling,Heat,74.45934935,30.41625786,69.82686455,59.26089406,55.2788685,61.45554237,52.2417782,47.58048581,16.7234271,Dynamic,H3K4me3,1.075216725,17,35.75961461,4.735664229,,4.327885608,16.60778894,2.862311167,32.58651526,45.20669024
Wheat,TaWRKY19,Seedling,Drought,78.22898963,33.0471907,62.84919288,70.2823707,92.86918871,75.3335841,87.62256041,59.49199532,30.10817095,High,H3K4me3,4.584172455,12,35.53402606,1.28534751,42.93581222,3.327414207,38.11960014,0.578111257,36.61635971,26.20286375
Arabidopsis,AtWRKY53,Mature,Drought,32.54662916,39.43665966,40.04295449,67.72775763,86.96483276,64.9118483,52.99879736,49.86230782,31.19793186,Dynamic,H3K27me3,30.8067703,6,59.50856737,6.401816473,56.50427577,1.896507659,37.92645809,3.334153957,38.25548388,43.43330862
Maize,ZmDREB2,Vegetative,Drought,64.86827874,27.02259579,32.0377053,46.55997924,69.73732474,49.4450031,53.89162307,36.45636739,17.80601952,Dynamic,H3K27me3,32.83651945,36,79.80509034,4.186799111,67.91273548,5.487331116,21.87697069,0.487534222,29.91010579,43.36420391
Arabidopsis,AtMYB44,Seedling,Salt,55.52279804,19.98856127,64.01141212,42.88793636,51.3793626,52.75957036,47.64575168,36.14290055,23.59983077,Dynamic,H3K9me2,29.14443272,35,25.85527723,6.168303916,43.6162295,2.037804978,19.87324042,3.461096126,27.72196545,58.67611144
Wheat,TaNAC69,Flowering,Drought,44.0668259,36.83558095,75.0350932,56.86883707,62.45725088,64.78706038,67.18030291,56.03726586,11.93797962,Dynamic,H3K4me3,42.79206212,44,32.34760855,4.662061063,65.44568646,3.727097562,13.74985948,1.098261474,44.48511169,45.64356105
Rice,OsNAC10,Flowering,Drought,70.95249309,26.13263138,55.7408677,54.36933478,76.68278831,62.26433026,53.88414597,40.87233711,30.37035663,Dynamic,H3K27me3,4.138088993,13,46.23814997,5.418878527,37.34442597,5.093892503,12.18795714,3.404936292,35.16821174,35.42977555
Arabidopsis,AtWRKY53,Vegetative,None,33.59022235,35.72208415,27.23550095,49.9485709,77.7715244,51.65186542,55.92403701,29.27714317,8.628324622,Dynamic,H3K4me3,26.79289164,19,71.1563238,6.484344283,54.49046122,3.604813842,18.2336484,0.702546801,35.39499223,43.02391506
Wheat,TaNAC69,Mature,None,18.54769398,26.30497571,47.3550007,52.6462442,72.82556639,57.6089371,47.04513697,32.2228262,28.49637879,Dynamic,H3K9me2,1.983692699,44,54.79520753,5.434828897,75.31945172,2.364219567,30.62384114,1.889866728,43.33728515,45.84989126
Arabidopsis,AtWRKY53,Seedling,Drought,61.30292428,19.05954737,39.41745419,69.23317899,57.02737302,55.22600207,49.36235464,48.89371871,11.16242367,Dynamic,H3K9me2,47.07333014,13,60.068325,5.036970189,75.48564833,3.305558094,11.61951421,2.855857671,43.53620035,54.82865414
Rice,OsDREB2A,Vegetative,None,17.46151212,31.44613262,49.97654903,41.92848155,93.97283829,61.95928963,59.65212298,52.5601509,25.58634848,Dynamic,H3K4me3,39.99177562,18,47.43896665,5.648498971,75.84759032,3.616561287,23.08132646,2.452919165,46.15691884,35.28125236
Rice,OsHKT1,Flowering,None,18.41463388,28.61222745,10.23034642,52.9834332,66.49076907,43.23484956,41.43926634,33.6447928,11.04318538,Dynamic,H3K4me3,43.23501565,47,82.00601824,5.552537381,,4.413794374,36.72851194,2.30139459,39.26988088,40.28888885
Wheat,TaWRKY19,Mature,Heat,11.79494461,23.53119569,49.00978094,,76.10775662,60.35681626,61.16807336,44.85489453,24.50204902,Dynamic,H3K9me2,12.55237368,10,47.98534925,4.477947006,82.40871171,1.054697748,14.26489554,0.373823056,38.65454485,46.21319949
Maize,ZmNAC111,Vegetative,Heat,75.41052188,23.79056718,35.07104142,59.43487037,61.55494555,52.02028578,47.54389653,32.40426761,21.91148326,Dynamic,H3K9me2,26.49558749,6,55.36844277,5.642449013,33.44123104,3.654196406,,0.920620451,39.26012137,56.79511504
Maize,ZmGLK1,Mature,Drought,22.96599126,37.94381223,51.22637126,43.4815585,86.70868896,60.47220624,57.41254683,42.97153026,8.763737215,Dynamic,None,28.05353437,26,52.63904469,6.804793651,68.75727588,4.586423654,13.59275017,1.486433435,43.30603989,38.71093819
Rice,OsNAC10,Vegetative,Heat,67.5830023,25.59345634,63.37749496,43.82141255,,61.75752571,60.56604218,45.36975775,10.32620927,Dynamic,H3K4me3,29.92657859,24,39.79138944,4.357194879,17.29750614,4.567886002,27.42700915,2.07209685,31.17504773,40.0367269
Wheat,TaDREB3,Mature,Salt,58.66011878,25.1079692,51.40998075,68.70391063,81.15962681,67.09117273,80.27474902,36.99123574,9.503052661,Dynamic,H3K4me3,11.71949191,40,47.94091576,2.541508177,36.64973848,1.238258107,10.74106399,3.166701255,30.45361184,47.56216971
Maize,ZmGLK1,Vegetative,,68.23041793,31.7400654,12.79726423,65.60672895,62.20163464,46.86854261,48.60852772,36.18498826,9.014305336,Dynamic,None,48.10245393,28,80.41645962,4.950065759,40.45603327,5.981921963,27.85409405,1.400744081,41.60950013,48.18162096
Maize,ZmNAC111,Vegetative,None,21.93345567,25.23694633,26.90756454,72.87225776,50.05565059,49.94515763,45.96658847,44.57578097,14.48182907,Dynamic,H3K4me3,5.099992647,21,70.44912545,4.490142247,83.70138176,2.080105424,39.487209,2.771089385,34.87313432,53.56127181
Wheat,TaDREB3,Seedling,Heat,18.93994385,35.65169076,69.10140438,68.34978791,51.62721712,63.02613647,58.06291283,38.14625573,15.38181619,Dynamic,None,10.82127046,46,21.71756875,4.701700044,57.33990329,2.547038283,37.42054314,1.915434971,44.85884427,48.66955841
Rice,OsNAC10,Seedling,Drought,67.22147959,24.51558234,73.89871602,74.7222676,86.26664301,78.29587554,87.37915032,48.68998575,10.363846,High,H3K4me3,43.16971687,35,15.33683101,1,67.64657622,3.384398906,39.21952643,2.369062044,41.80465015,35.10159821
Maize,ZmDREB2,Seedling,None,52.43770564,34.12024502,16.99354509,60.10264306,67.93983625,48.34534147,41.50687343,31.28010159,6.152859577,Dynamic,H3K9me2,31.16960377,22,83.28970453,6.379005412,35.4481239,4.024567451,27.58046755,0.682843755,42.81652629,45.67758798
Maize,ZmNAC111,Seedling,Salt,49.51087635,19.79456139,40.58776753,59.38406348,83.9414095,61.3044135,64.23470933,37.94387749,16.68306866,Dynamic,H3K9me2,11.42973017,28,61.84474069,2.867402682,29.57624447,4.766472222,27.77765358,2.344547322,31.12010289,42.30159839
Arabidopsis,AtWRKY53,Seedling,Salt,60.70222288,34.80234084,50.23992145,66.16303181,65.94063082,60.7811947,61.40127525,42.1003339,10.37868427,Dynamic,H3K4me3,16.51326955,25,51.85111161,3.758056733,45.54258678,3.371013208,26.62874335,2.495070706,30.41450727,44.1937225
Wheat,TaNAC69,Vegetative,None,23.91993944,16.615417,11.70532837,54.85634271,61.96330115,42.84165741,45.34515462,29.97774434,8.84284845,Dynamic,H3K4me3,7.090677707,16,86.34758224,5.075887931,60.54385742,3.432057784,34.56325245,3.05763048,37.84787443,51.78751608
Arabidopsis,AtMYB44,Seedling,None,58.16942943,25.9400781,20.18682488,73.63486318,51.7291857,48.51695792,56.31386579,33.21427205,17.21772669,Dynamic,None,2.56280858,22,83.52365198,4.667906002,19.99773684,2.555224066,16.00676003,2.672916371,40.24443842,60.6441136
Maize,ZmGLK1,Mature,None,66.14913907,17.63418835,11.42283468,60.34317158,67.44178542,46.40259723,45.69629284,41.60620963,22.65838744,Dynamic,None,44.99559079,7,96.3847213,4.353709782,54.11941328,5.322137826,12.7485133,1.686535191,31.65235327,37.38595313
Arabidopsis,AtMYB44,Seedling,None,36.73577478,20.14218155,14.85545673,64.60051872,84.85852013,54.77149853,57.92423917,39.00392627,6.396242401,Dynamic,None,21.88780571,24,92.42263672,6.006847658,59.94665486,,23.53070024,3.273463467,34.49231224,41.29974619
Wheat,TaWRKY19,Flowering,Heat,26.84848983,18.03753441,39.87352449,75.47699601,79.06148657,64.80400236,59.25436358,53.55265212,28.80848955,Dynamic,None,27.47883249,42,63.09362137,4.912126345,47.32563846,3.525995659,31.31170167,,38.81091308,36.40102993
Rice,OsNAC10,Mature,Heat,13.02216151,19.12037039,36.58643867,69.0391964,86.80033984,64.14199164,56.79161102,45.0495555,27.9839458,Dynamic,H3K4me3,8.42354593,41,64.95772639,6.023053843,34.80533775,4.260087971,30.04432967,3.100967185,38.45324437,37.80359598
Wheat,TaNAC69,Vegetative,Heat,60.85232006,39.79524878,34.95890498,56.05977263,86.00319359,59.0072904,52.0216683,42.60526872,23.20334938,,None,37.41382225,13,78.04951059,3.601950108,41.2749697,3.351375353,25.73524845,0.366473283,40.69783368,39.22141655
Rice,OsNAC10,Seedling,None,35.75585259,23.17329041,15.95552201,52.22416862,89.44928428,52.54299164,62.97454802,34.01232965,14.68283702,Dynamic,H3K4me3,5.103036671,6,86.98976272,4.041265701,44.84226316,4.782472586,10.12873054,2.301706413,37.10986021,26.78111186
Arabidopsis,AtMYB44,Flowering,Drought,60.63833359,17.60343395,41.27193777,68.11773764,52.37617822,53.92195121,53.63287913,39.88863326,18.37974234,Dynamic,None,18.98639851,29,66.01404103,3.644369247,65.03472614,3.237775626,39.42301409,1.011002284,41.85235202,55.7413328
Maize,ZmGLK1,Mature,Salt,26.51003194,24.28555005,33.12711134,72.05467663,84.49648358,63.22609052,69.13433677,39.18610226,10.7099958,Dynamic,H3K4me3,48.99251239,2,66.55644305,5.357431604,84.02141862,4.988878351,31.67956437,3.343485172,30.65285462,40.47736695
Rice,OsHKT1,Vegetative,None,51.00671022,29.6619773,37.9068251,77.18467692,85.21618729,66.76922977,54.91464957,56.15901212,12.70061133,Dynamic,H3K9me2,45.24370985,34,57.37609732,3.817217672,49.84620238,3.740721597,47.49413177,2.573959874,42.62341292,26.2738462
Rice,OsDREB2A,Seedling,Heat,63.58590293,18.97270419,60.51125747,45.41416329,83.81187887,63.24576655,67.21646621,55.82361327,8.069097696,Dynamic,H3K27me3,3.735624799,44,38.98797214,3.074679628,80.36314101,2.998184799,16.70239124,2.742104527,35.09531716,33.70414763
